texto,label,emocion
me siento tan inteligente comentarios recientes a href http www,1,alegria
"fui a jugar a los bolos david y algunas otras personas, pero realmente no tenía ganas de ser sociable, así que simplemente llamé y le envié un mensaje de texto a lisa toda la noche, quien también estaba enviando mensajes de texto a chris al mismo tiempo que ella lo conocía toda su vida.",1,alegria
me sentiría tan nostálgica a una edad tan joven,2,amor
puede que no me sienta tan cool,1,alegria
no siento ninguna alegría como que los fieles sientan que viendo las glorias de su lugar santo un horror de gran oscuridad está sobre mí un miedo terrible me ha abrumado.,1,alegria
me siento bastante aterrorizado inmaduro y no listo,4,miedo
i alba me siento bien e im encajar en,1,alegria
me siento como salir con amigos y tener un poco de diversión juvenil maravillosamente inocente con,1,alegria
me fui sintiéndome paranoico y cada vez es más difícil sentirme feliz,4,miedo
"siento que mi casa está constantemente sucia porque realmente odio la limpieza, especialmente cuando estoy cansado",0,tristeza
me siento tan arrepentido y mal que he llamado en,0,tristeza
me sentía emocionado y motivado,1,alegria
quiero ser feliz de nuevo y me he olvidado de lo que es sentirse contento,1,alegria
me siento ansioso como lo hago normalmente a esta hora de la noche,4,miedo
simplemente era ingrata y egoísta por querer una vida o querer algo más o al menos sentirme valorada y respetada.,1,alegria
siento que fue perfecto como punto de partida para lo que está por venir,1,alegria
"me siento muy fuertemente sobre el apoyo, por lo tanto, ¿por qué estamos corriendo la milla?",2,amor
"me siento un poco más tranquilo, más irritable e impaciente que antes.",3,enojo
me siento muy arrepentido en este momento,0,tristeza
"no solo quiero decir que las sensaciones que experimentamos influyen en nuestros estados de ánimo, sino que no estoy simplemente señalando que decir incomodidad en nuestros cuerpos nos hace sentir irritables.",3,enojo
siento que los policías son desafortunados y tristes,0,tristeza
me aventuro de nuevo hacia el norte y para el gran día me siento muy festivo,1,alegria
"me siento de esa manera, pero sí, tengo un problema en confiar especialmente en los hombres.",1,alegria
estoy sentado aquí hoy sintiéndome miserable,0,tristeza
me siento mal por eso,0,tristeza
"me falta dormir un poco, pero también siento que tengo una hoja de papel en blanco delante de mí en muchas áreas de la vida de la iglesia.",0,tristeza
"estoy en medio de mi conversión a la comprensión del evangelio y, a veces se siente muy parecido a una crisis de identidad, así que por favor tenga paciencia conmigo, ya que soy muy tímido en este nuevo papel y la vida.",4,miedo
"todavía siento que estoy en el proceso de aprender a escribir en un estilo de blogging, pero lentamente me estoy volviendo mejor en eso.",1,alegria
"me hubiera gustado salir, pero no lo sentía y creo que fue en parte porque sería con alguien con quien no estoy encantado de estar en este momento.",1,alegria
de hecho me siento triste,0,tristeza
me siento ansioso por ver el espectáculo a veces me estremezco ante la idea de verlo de nuevo,1,alegria
"quería estar aquí y parece que el sentimiento es mutuo, el club estaba dispuesto a mantenerme.",1,alegria
me senté con dave atell al principio tratando de no sentirme grosero mientras los chicos estaban comiendo.,3,enojo
me siento como si hubiera tenido un diente dulce esta semana,2,amor
doble victoria sobre stuff marrón volvimos el domingo sintiéndonos realmente optimistas y con ganas de otro día lleno de tenis más fedtástico,1,alegria
"definitivamente tenía esa sensación submarina últimamente, así que me sentí aliviado de participar en un servicio de cuaresma en la iglesia de hoy, uno diseñado para despejar la cabeza de las preocupaciones transitorias.",1,alegria
realmente recomendaría tomar este enfoque porque lo último que quieres es sentirte decepcionado cuando llegue tu pequeña pepita.,0,tristeza
cuando mi solicitud para estudiar la maestría fue aceptada,1,alegria
"realmente tengo mucha idea de cómo se siente o se siente mi ex sobre cualquier cosa, excepto que lo odiaba cuando no atornillaba las tapas en frascos en la cocina.",3,enojo
"siento por todos aquellos que perdieron sus hogares, aquellos que no tienen electricidad y todo por esta última tormenta.",0,tristeza
siento que desarrollarán una conexión amistosa a medida que pase el tiempo,1,alegria
refrenar toda la emoción le preguntó a su wen es una risa dijo vernos sonriendo al lado tal vez la sensación de que soy preocupación sincera por su wen es correcto,1,alegria
ive collected a medida que siento que es vital crear algo precioso a partir de esos artículos como un tributo a la tierra y su poder generosidad,1,alegria
me siento tan determinado esta vez y digo esta vez porque he probado todas las dietas bajo el sol,1,alegria
me sentía tan molesto por todo,3,enojo
me había sentido resentido por mis padres durante algunas horas.,3,enojo
me siento tan inseguro acerca de todo en este momento,4,miedo
me siento cachonda me siento cachonda alguien quiere verme,2,amor
"se espera que sea monógama, lo que para mí se siente como si estuviera siendo fiel a alguien que está con otra persona.",2,amor
me siento con el corazón roto y preocupado y tengo un dolor de cabeza malvado,0,tristeza
cuando enganché a una chica en kitwe ella era muy hermosa para mis estándares,1,alegria
"estoy seguro de que no estás solo en sentirte un poco divertido disfrutando del arte, incluso el arte negro creado y negro endosado lleno de un término que te marcaría como odioso y racista con mayúscula si lo pronuncias en la conversación.",5,sorpresa
me siento lo suficientemente hinchable y si puedo susurrar algunas personas deseosas de ir conmigo,1,alegria
necesito volver al trabajo reescribiendo una introducción me siento mal inadecuado al escribir mal hacer esto corto,0,tristeza
"sé que hay momentos en los que algunas cosas de pesadilla pueden realmente sucedernos, pero cuando soñamos malas visiones simplemente aparecieron en nuestras mentes y nos sentimos terriblemente mal.",0,tristeza
me siento muy agitado y algo perdido,3,enojo
"puedo dejar caer a las personas que me están usando sin problema y ciertamente puedo afirmarme con los niños, pero pidiéndole a nik que se vaya temprano en un día fácil solo porque me siento llorando y quiero un abrazo.",0,tristeza
estoy feliz de informar que no sentí esa necesidad enojada de golpear a olivia hoy de la manera en que ive lo sintió antes.,3,enojo
me siento como lo hice cuando estaba preocupado fácilmente agitado e indeciso,0,tristeza
me siento frustrado cuando tengo nueva música y nuevas letras que claramente no tienen nada que ver entre sí.,3,enojo
me siento menos amenazado por el mundo,4,miedo
im sentimiento juguetón y humorístico,1,alegria
me siento horrible cuando me quedo en casa tanto por perderme el ejercicio y la práctica como por descamarse en el equipo.,0,tristeza
me encanta escuchar de mis amigos así que siéntase libre de dejarme un comentario,1,alegria
confío aunque puede tomar más coraje de lo que siento que tengo que nuestro dios es un dios fiel e incluso cuando no veo la imagen más grande que mi señor hace,1,alegria
"tuve la sensación de que si no ayudaba, esto podría convertirse en una mala escena.",0,tristeza
me siento convencido de que estoy al borde de algo increíble,1,alegria
siento que es un recordatorio de que estoy cuidando de algo tan precioso y necesito tratarme mejor.,1,alegria
me meto en grupos me siento muy incómodo y sobrecompensar por ser demasiado hablador o por conseguir muy tranquilo,0,tristeza
luché contra el rubor en sus mejillas con una mano descansando sobre su corazón sintiendo que el frenético latido casi positivo kai podía escucharlo,4,miedo
"estaba empezando a sentirme casi hastiado de mochileros, supongo que el interminable rebote alrededor de un título comodidad v dinero en efectivo mi lucha mochilero con el viaje por tierra href http www",0,tristeza
"me siento rebelde porque no me gusta particularmente ver comedias románticas, pero tengo la sensación de que puedo ser bastante bueno escribiéndolas.",3,enojo
me siento muy triste de que mi propia novia ni siquiera puede abrirse a mí o comunicarse conmigo,0,tristeza
también sé lo bien que se siente mirar hacia atrás y ver que honré mi palabra y que ayuda desde el principio.,1,alegria
me siento tan estúpido porque la primera semana de la feria ni siquiera valía la pena trabajar para,0,tristeza
estoy seguro de saber a dónde ir si me siento un poco tierno,2,amor
"siento mucha presión, pero estoy decidido a terminarlos para poder visitar a mi hermana en mayo con la conciencia tranquila.",1,alegria
"no quiero sentir nada, quiero estar adormecida",0,tristeza
"sé que ni siquiera ha oído lo que estaba diciendo, así que me hace sentir poco importante para él.",0,tristeza
"realmente siento que estoy vadeando en aguas peligrosas aquí, pero creo que el diálogo también es realmente importante.",3,enojo
sé lo que se siente al le gusta legítimamente por alguien que de alguna manera me hizo sentir de la misma manera que confía en mí toma mucho que quiero que en mi vida,2,amor
me desperté sintiendo ish artístico,1,alegria
"me siento mal por no trabajar este verano, finalmente voy a poder descansar y poner mis pies en alto.",0,tristeza
me siento vacío cuando el bebé no está allí,0,tristeza
también siento que ver cómo reacciona el cuerpo es un paso importante para cambiar el comportamiento.,1,alegria
me siento como que soy productos dañados y que se merece algo mejor que esto,0,tristeza
"sin embargo, siento que es bastante peligroso tratar de aplicar solo una estrategia a un partido.",3,enojo
me siento un espectador a esta suposición y divertido y melancólico que no puedo aliviar todo el dolor,1,alegria
me siento codicioso con mis pensamientos y es un alivio dejarlos quedarse,3,enojo
yo era parte de la familia y tengo la sensación de ser aceptado.,1,alegria
estoy sintiendo nostalgia por él,0,tristeza
me siento súper pegada a mi cama,1,alegria
"pude adivinar o captar muchos de los giros de la trama en este episodio desde los primeros indicios que nos dieron y si eso es moffat usando un presagio realmente obvio o yo teniendo una sólida comprensión de su lógica narrativa no estoy seguro, pero me gusta. ambos construye suspenso y me hace sentir inteligente",1,alegria
no me tomé el tiempo para contar el dinero en parte porque el cajero ya estaba llamando al siguiente cliente y me sentía un poco apresurado y en el camino con la siguiente persona en la fila arrastrándose por mi espalda.,3,enojo
"me siento totalmente desilusionado con la escuela de medicina con londres, pero sobre todo con mi universidad.",0,tristeza
"también respondo a la mayoría de los comentarios, así que siéntase libre de compartir sus pensamientos y hablemos",1,alegria
tengo una descarga eléctrica muy desagradable cuando estaba manipulando algunas applaines eléctricos,4,miedo
todavía me siento devastada y desconsolada,0,tristeza
me desviaría de sentirme completamente aterrorizado a completamente desorientado a completamente mareado,4,miedo
me quedé sintiéndome un poco decepcionado ya que todo comenzó tan bien y terminó un poco flojo,0,tristeza
me siento cachonda y decido dar una doble cabecera larga mojada mamada descuidada,2,amor
he estado teniendo sofocos más frecuentes a lo largo del día a veces y estoy empezando a sentir un toque tierno de dolor en un lugar de mi espalda que espero que no sea otra nueva metástasis de tumor óseo.,2,amor
"seguí despertando y sintiéndome feliz de que el sueño había terminado, entonces me volvería a dormir solo hasta que el sueño continuara.",1,alegria
me siento mucho mejor y estoy de vuelta incluso a la universidad,1,alegria
"sin embargo, me sentí celoso",3,enojo
seguí teniendo esta fuerte sensación de moverme hacia algo que me quedé y fui castigado por no salir cuando debía.,0,tristeza
me siento divertido usted sabe que la información fue publicada directamente en su sitio a la vista y es exactamente donde estaba en el primer lugar publicado directamente en livevideo en su sitio anoche en internet,1,alegria
siento la sonrisa amorosa cálida y agraciada de mi madre mientras robo el tiempo para nutrirme y sanar,1,alegria
no puedo sacudir el im ocultando cómo me siento acerca de mí mismo debajo de un ambiente de chaqueta fabulosa y este estilo no encaja bien con la mayoría de la ropa que uso,1,alegria
me siento de esta manera no hay un solo día que ha pasado por que ive se sentía inseguro con jerome,4,miedo
me siento aprensivo al respecto,4,miedo
"me siento bastante letárgico de alguna manera hoy y muy desgastado últimamente, ya que apenas tengo tiempo para sentarme como im constantemente en mis pies, que originalmente no me quejaba porque me ayudaba a perder peso, pero cuando comienzas a ponerte mal, no es bueno para moverte mucho.",0,tristeza
siento que es grosero ignorar a la gente,3,enojo
una relación en la que había puesto mi confianza,0,tristeza
me siento maravilloso después de ver todos estos precios de cinta dulce,1,alegria
me encanta la forma en que solo miro a los ojos y me siento seguro,1,alegria
siento que soy violento y digo que no voy a aceptar eso y aquí están las consecuencias,3,enojo
me siento muy satisfecho conmigo mismo y decido darle al chico otra rupias,1,alegria
me he sentido fenomenal me sorprendió cómo mi necesidad de atracones se redujo y he perdido peso sin siquiera intentarlo,1,alegria
no puedo ayudar pero siento que alguien va a terminar enojado conmigo,3,enojo
a veces me siento como si estuviera un poco inseguro de quién soy y lo independiente que realmente soy.,4,miedo
"vivo este estilo de vida amorfo, menos voy a estar sujeto a estos sentimientos, pero a partir de ahora se siente fantástico estar de vuelta en los ritmos de trabajo a tiempo completo.",1,alegria
"me gusta la calidad de construcción y cómo cambia el diseño de los botones de acuerdo con la función del teléfono, también me gusta que la retroalimentación háptica realmente se sienta como si el teléfono tuviera botones.",1,alegria
"siento que ha sido un capitán excelente y ha jugado muy bien para nosotros, dijo taylor.",1,alegria
estoy sintiendo paz y estoy feliz de que no tengo que hacer más scabi im en verona mi última semana,1,alegria
siento que te están agraviando te respaldaré,3,enojo
"me siento mal por casi todos los involucrados y generalmente me molesta ver que la violencia tenga lugar, quizás lo más inquietante de todo es la culpa insidiosa, si no predecible, que se ha apoderado de la víctima en los días posteriores al incidente violento.",0,tristeza
"me siento tembloroso discutiéndolo con cualquiera, especialmente en público, como si fuera una pequeña bola de lágrimas explosivas a la espera de derramarse por todas partes.",4,miedo
me refiero a la forma en que una casa se siente a mí cómo lo dibujo alrededor de mí mismo cómo me gusta organizar y reorganizar pequeños rincones ensamblar naturalezas muertas de flores y objetos preciosos,1,alegria
"no he descubierto y cada vez que no puedo encontrar el tiempo o la capacidad o el dinero para cuidar de cada lado por igual, termino sintiéndome decepcionado.",0,tristeza
me siento tan popular hoy jajaja,1,alegria
tengo la sensación de que tyler no es muy aficionado a la idea.,2,amor
hace un par de meses,3,enojo
sentirse aún más presionado,4,miedo
"siento que soy tan emocional y desordenado que ni siquiera puedo pensar en escribir en este blog, así que salgo del hábito y pasan meses y los comentarios no se leen y de repente me olvido de cómo hacer esto.",0,tristeza
siento como si los últimos dos meses hubieran sido una extraña hora de vigilia sobre el sueño aún más extraño de todo lo que mis años en wisconsin fueron y no fueron.,4,miedo
me siento seguro de que fue la respuesta correcta,1,alegria
me mantuve callado sintiéndome un poco tonto de que había sido demasiado rápido para saltar a la conclusión.,0,tristeza
estoy sintiendo esa dulzura amarga que viene de un profundo receso en mi alma.,3,enojo
estaba en la firma me siento apasionado por lo que estoy haciendo porque desafía mi mente e intelecto para resolver algunos problemas de diseño y estar cerca de arquitectos y diseñadores realmente ayudó a crear un ambiente propicio,2,amor
me siento malhumorado y no puedo pensar correctamente cuando me privan de comida durante más de dos horas.,3,enojo
"siento que tiene miedo de algo bueno y está saboteando en este momento y tal vez si le doy espacio, el infierno regrese, pero siento que ha tenido tanto espacio y todavía no se siente lo suficiente.",4,miedo
me alejé de ese encuentro sintiéndome bendecida también.,1,alegria
todavía siento un antojo por la comida dulce,1,alegria
me concentré en el olor que empecé a sentir y sabía que era el aroma nostálgico de la casa de mi abuela en bhubaneswar orissa,2,amor
repasé mis sentimientos ella dijo que soy muy temeroso y conflictivo,4,miedo
realmente siento que es la culminación de comenzar a tocar más clubes y querer hacer cosas más amigables para la pista de baile y tener cosas que tengan un cierto rango de tempo que se ajuste bien en ese entorno.,1,alegria
"no he pasado tanto tiempo con ellos, pero simplemente no me siento cómodo allí",1,alegria
me siento nervioso simplemente caminando afuera,4,miedo
me siento completamente apático,0,tristeza
no necesito bañar a un niño con regalos para sentirme como si me importara.,2,amor
me siento generoso a veces y alimentar un poco de esos ahorros a los pájaros,2,amor
me gusta cuando me siento productivo a pesar de que a veces me quejo por no tener tiempo para rascarme el trasero,1,alegria
me siento tan mal en este momento,3,enojo
me siento tan tenso al respecto porque sé que lo odias y estás constantemente tratando de ver la televisión en la ventana y escucharla.,4,miedo
tengo la sensación de que steve estaba impresionado de que bi se utiliza en la fabricación y no sólo en las finanzas como en los ee.uu.,5,sorpresa
me sentí empoderado diciéndole cómo me había afectado cómo me había acercado al suicidio debido a la angustia severa que me había causado para seguir sintiéndome mucho después del encuentro desagradable donde lo que sentí fue ignorado por completo.,0,tristeza
me pregunto por qué me sorprende que las cosas sean diferentes de lo que esperaba.,5,sorpresa
me siento valiente de nuevo tubo fueron incluso va a tratar de escalada en hielo en nipigon y trineo perro,1,alegria
pasé un examen que estaba absolutamente seguro de que había fallado.,1,alegria
creo que tengo derecho a saber si mi vecino no puede ver si me siento envidioso o avergonzado o no puedo decir la diferencia entre el tipo que no camina del tipo que camina.,3,enojo
siento el frío borde del barril contra mi cabeza,1,alegria
me siento aburrido y fácilmente toda la diferencia de la regla absolutamente no puedo t varios por lo que esto a su vez rápida cazuela fácil es fantástico en relación con las comidas de grupo local hall pitch ins picnics dirección almuerzos etc,0,tristeza
"me siento un poco aturdido y cansado y enojado, pero esa es una emoción y un estado de ánimo normal para mí experimentar de día a día o semana a semana.",5,sorpresa
me siento condenado por querer obtener un doctorado de algo además de la medicina.,0,tristeza
simplemente digo que no siento que esas actividades sean aceptables para los hombres piadosos como ejemplo para los demás.,1,alegria
me siento como increíble x hombres compensados lo suficiente para ganar un fuera de,5,sorpresa
me siento como si fuera un agujero culo grosero en hookah,3,enojo
simplemente decidí ponerle un cierre al irritante y evitarlos por completo o hacer que su presencia se sienta igualmente desagradable.,0,tristeza
no tengo idea de por qué esta región en particular parece carecer de una carniola exterior visiblemente necesaria también y me siento realmente algo molesto por esta posible evidencia de falta de espíritu suburbano.,3,enojo
estoy atado a mis pensamientos en clase como en la vida no puedo realizar me siento avergonzado y miedo de estar en mí mismo,0,tristeza
"te dije cómo me sentía y me trataste mal me hiciste sentir tan estúpido, pero ya sabes lo que",0,tristeza
"siento cosas mezquinas, pero no en la medida en que los humanos parecen sentir que se han iniciado guerras por cosas estúpidas y, por más que lo intente, no puedo entender cómo cosas como amar a dos personas o sentir celos pueden llevar al asesinato y la infelicidad.",3,enojo
"tengo que tenerlo hecho, pero me siento aterrorizado de otra intrusión en mi cuerpo",4,miedo
ahora estoy sintiendo el inicio de un tipo desagradable de pánico turístico.,0,tristeza
sigo sintiéndome tan vacía y solitaria,0,tristeza
estoy lleno de asombro y me siento divertido acerca de lo que esta ciudad tiene ingenio hoy en día.,1,alegria
soy bueno en algo que me apasiona y todos los otros estudiantes que se gradúan este año están en el mismo barco que sucede después.,2,amor
siento que los exámenes totalmente apáticos han llegado y se han ido y ahora tengo unos cinco meses enteros frente a mí sin unidad y tiempo libre.,0,tristeza
i a href http feeling groggy,0,tristeza
no siento que estoy siendo presionado para hacer nada y no tengo ganas de hacer el amor con mi marido tiene ninguna conexión con las agresiones y violaciones,4,miedo
en un lago de represas,4,miedo
"estoy empezando a sentirme aislado en el lugar de trabajo, pero no atribuyo la culpa a nadie ni a nada.",0,tristeza
quiero tanto de ti como estás dispuesto a darme y planeo hacerte sentir muy generoso,1,alegria
puedo mirarlos a la cara de nuevo sin sentirme incómodo,0,tristeza
ive lo hizo a través de una semana solo me siento golpeado abajo,0,tristeza
estoy en confusión y sintiendo tan rito en blanco ahora,0,tristeza
id también se siente inestable si id pasó una semana contemplando cómo id simplemente enojó mi trabajo de la vida,4,miedo
no me he permitido que truley se hunda en un estado mental deprimido sintiendo que todos están en mi contra y no confiando en nadie y básicamente queriendo morir desde el primer año.,1,alegria
realmente siento que estamos progresando hacia una sociedad que es más intrépida gradualmente desechando límites aparentemente rígidos como la paranoia sobre la seguridad de las pertenencias de uno.,1,alegria
confieso que me siento un poco aprensiva,4,miedo
todavía me sentía perra no triste,3,enojo
"yo y la mayoría de las mujeres no se sienten particularmente agobiadas por tomar la píldora, hay algo de injusticia en ello.",0,tristeza
me siento indefenso,4,miedo
siento que estoy de vuelta a mi yo inocente y despreocupado,1,alegria
me encanta si siento que viene un frío,3,enojo
me voy a dormir me siento como si estuviera renunciando a un tiempo precioso para hacer otra cosa con mi vida,1,alegria
ya me sentí privado cuando después de que claire nació reaccioné a la epidural y experimenté sacudidas extremas durante un par de horas y no pude sostenerla durante esa experiencia especial de alerta tranquila que experimentan los recién nacidos.,0,tristeza
me sentí irritado y un poco molesto después de esta conversación.,3,enojo
me siento un poco aprensivo acerca de esta fiesta,4,miedo
me siento tan idiota por ti,0,tristeza
estoy luchando para disfrutar de las cosas que solía amar salgo y me rodeo de la gente a pesar de que todo lo que realmente quiero hacer es aislarme de todos y esconderme bajo el edredón me siento solo y apático a casi todo lo que me rodea,0,tristeza
me siento tan vulnerable y asustada,4,miedo
me siento caliente así que le pregunto que deja ir a casa,2,amor
me siento todo glamoroso,1,alegria
debo decir que me siento un poco deprimido porque todo lo que sé podría ser completamente sin sentido.,0,tristeza
pregunté sintiéndome completamente inútil,0,tristeza
