texto,label_txt,label
Disfruta de envío gratis en tu próxima compra,spam,1
Tu donación puede marcar la diferencia en muchas vidas,ham,0
Mantén tu rutina fitness con nuestros videos,spam,1
Haz clic para ver este increíble video de comedia,spam,1
Solo por 24 horas todo a mitad de precio,spam,1
Encuentra el amor de tu vida con nuestra aplicación,spam,1
Tu reservacion esta confirmada,ham,0
Obtén tu seguro de gastos médicos hoy mismo,spam,1
Gracias por tu compra reclama tu regalo aquí,ham,0
Hola necesito que coordinemos esa junta,ham,0
Revisa y aprueba el contrato digital,ham,0
Gracias por tu visita esperamos verte pronto,ham,0
Conoce solteros y solteras en tu ciudad,spam,1
Escanea este codigo y gana descuentos,spam,1
Aprovecha nuestras tasas de interés preferenciales,spam,1
Transforma tu físico con nuestro reto de 30 días,spam,1
Hoy es el ultimo dia de descuentos,spam,1
Atrae abundancia con estas velas aromaticas,spam,1
Extiende tu suscripcion sin costo extra,spam,1
Despierta tu niño interior con Lego,spam,1
Incrementa tu resistencia con nuestro suplemento deportivo,spam,1
Gana un carro nuevo participando en nuestro concurso,spam,1
Tu recibo de pago está disponible para descargar,ham,0
Invierte en acciones y multiplica tu capital,spam,1
Recibe tus pedidos sin costo de envio,spam,1
Danos tu opinion sobre nuestro servicio,spam,1
Por favor selecciona la sede de tu preferencia,ham,0
Invierte a largo plazo con nuestros fondos,spam,1
Obten cashback en todas tus compras,spam,1
Gracias por tu orden estamos preparando tu envío,ham,0
Activa tu nueva tarjeta con este codigo,ham,0
Tu orden de compra ha sido procesada exitosamente,ham,0
Obtén cash-back con este cupón,spam,1
No te pierdas este gracioso video de gatos,spam,1
Por favor completa la encuesta de satisfacción,ham,0
Postulate a este reality y gana fama,spam,1
Tu equipaje ha sido enviado pronto estará contigo,ham,0
Tu pedido está en ruta de entrega,ham,0
Haz clic para ver fotos de personas desnudas,spam,1
Verifica tu identidad para proteger tu cuenta,spam,1
Destaca la profundidad de tu mirada,spam,1
Conviertete en un experto en redes sociales con nuestro curso,spam,1
Usa este cupón antes de que caduque,spam,1
Juntos podemos lograr un cambio positivo,ham,0
Felices fiestas y prospero Ano Nuevo,ham,0
Feliz aniversario que tengas un dia maravilloso,ham,0
Gana probando productos como mystery shopper,spam,1
Paga hoy y evita intereses de mora,ham,0
Obten los mejores consejos para una piel radiante,spam,1
Lamentamos informar que tu crédito no ha sido aprobado,ham,0
Tu suscripción ha sido activada bienvenido,ham,0
Paga a tiempo y mantén tu récord crediticio,ham,0
Aprende a diseñar como un profesional con nuestro tutorial,spam,1
Firma el acuerdo de confidencialidad adjunto,ham,0
Mantente informado con nuestras noticias diarias,spam,1
Baja 2 kilos por semana con nuestra dieta,spam,1
Salvemos más vidas con tu donación,ham,0
Tu paquete está en camino y llegará pronto,ham,0
Entérate de los movimientos del mercado,spam,1
Hola te ayudo en lo que necesites,ham,0
Descarga nuestra aplicación y obtén un descuento especial,spam,1
Obtén un descuento usando este código QR,spam,1
Gana dinero por compartir tus opiniones,spam,1
Hola resolveré todas tus consultas,ham,0
Tu recibo de nómina está disponible aquí,ham,0
Gana dinero extra con este trabajo de medio tiempo,spam,1
Hola nos encantaria que te unas a nuestro equipo,ham,0
Postula a tu media naranja y gana una cita a ciegas,spam,1
Prueba este increíble juego para móviles,spam,1
Por favor revisa y firma el acuerdo de confidencialidad,ham,0
Por favor responde a esta encuesta,ham,0
Felices fiestas que tengas una feliz Navidad y próspero Año Nuevo,ham,0
Recordatorio amistoso: tu factura está por vencer,ham,0
Has sido seleccionado para una oferta exclusiva,spam,1
Este es un recordatorio de tu cita medica,ham,0
Tu cuenta ha sido actualizada con las nuevas funciones,ham,0
Invierte en bienes raices y asegura tu futuro financiero,spam,1
Necesitas este seguro de vida ahora mismo,spam,1
Tu factura electrónica está lista descárgala aquí,ham,0
No te pierdas estos memes divertidísimos,spam,1
Necesitamos verificar tu informacion fiscal,spam,1
Cambia una vida apadrinando un niño,ham,0
Tu vuelo está confirmado,ham,0
Tu cuenta ha sido verificada exitosamente,ham,0
Gana dinero extra desde casa,spam,1
Aprovecha descuentos exclusivos para ti,spam,1
Haz clic aqui para ver increibles fotos de gatitos,spam,1
Revisa el estado de cuenta adjunto,ham,0
Reconfirma tu correo haciendo clic abajo,spam,1
Visita nuestra nueva colección,spam,1
Mil gracias por preferirnos estamos comprometidos con tu satisfacción,ham,0
Hola me encantaría que nos reuniéramos,ham,0
Obten envio gratis en tu primera compra,spam,1
Tu orden ha sido actualizada,ham,0
Mega ofertas solo por hoy,spam,1
Cambia tu contrasena para mayor seguridad,ham,0
Tu balance mensual ya fue generado,ham,0
Agrega tus comentarios en el documento compartido,ham,0
Verifica tu numero de cuenta para el deposito,spam,1
Tu reservación ha sido confirmada gracias por elegirnos,ham,0
Feliz aniversario de bodas,ham,0
Haz esta prueba de coeficiente intelectual y sorprendete,spam,1
Necesitamos verificar tu edad para procesar tu pedido,spam,1
Haz clic para descargar este ebook gratis,spam,1
Felicidades has ganado un telefono nuevo,spam,1
Gana dinero probando productos en casa,spam,1
Gana premios por tus compras frecuentes,spam,1
Mejorar tus defensas con probioticos,spam,1
Prueba nuestra nueva app y obtén recompensas,spam,1
Por favor ayúdanos a mejorar contestando esta breve encuesta,ham,0
Aquí está tu estado de cuenta mensual,ham,0
Aprovecha nuestras ofertas de fin de temporada,spam,1
Tu orden ha sido procesada exitosamente,ham,0
Verifica tu suscripción haciendo clic en el enlace,spam,1
Descarga este wallpaper inspiracional gratis,spam,1
Agenda tu cita online,ham,0
Disfruta los beneficios de ser socio,ham,0
Adelgaza comiendo estos snacks,spam,1
Gracias por ser un cliente fiel,ham,0
Recibe hoy mismo tus compras del supermercado,spam,1
Por favor verifica y actualiza tu perfil,ham,0
Obten tu reporte de credito gratis,spam,1
Rejuvenece tu rostro con nuestro suero anti-edad,spam,1
Realza la profundidad de tu mirada,spam,1
Este es un mensaje importante de tu banco,spam,1
Obten un descuento del 50% en tu proximo viaje,spam,1
Apoya esta noble causa con tu aporte,ham,0
Haz clic aqui para conocer personas interesantes cerca de ti,spam,1
Necesitamos verificar tu cuenta bancaria,spam,1
Obten un prestamo en linea instantaneamente,spam,1
Tu pedido está casi listo pasa a recogerlo,ham,0
Genera tu certificado tributario electronico,ham,0
Gracias por tu interes en nuestra vacante,ham,0
Hemos extendido tu garantía sin costo adicional,ham,0
Feliz dia mama gracias por tanto amor,ham,0
Gracias por confiar en nuestra asesoría,ham,0
Mira estos chistosos videos de gatos,spam,1
Tu factura esta lista para ser descargada,ham,0
Haz una donación y ayuda a cambiar vidas,ham,0
Ten energía todo el día con nuestras cápsulas,spam,1
Haz clic para ver las fotos privadas de esta persona,spam,1
Postula a tu equipo favorito y gana,spam,1
Gracias por tu interés te contactaremos pronto,ham,0
Unete a nuestro programa de referidos y gana comisiones,spam,1
Elige dónde recoger tu paquete,ham,0
Gana un viaje todo incluido participando en nuestro sorteo,spam,1
Protege tu hogar con nuestras camaras de seguridad,spam,1
Rejuvenece tu piel con nuestro tratamiento antiedad,spam,1
Felicidades fuiste aceptado en la universidad,ham,0
Prueba nuestras nuevas opciones veganas,spam,1
Tu estado de cuenta está disponible en línea,ham,0
Felices fiestas te deseamos paz y prosperidad,ham,0
Feliz cumpleaños que todos tus sueños se hagan realidad,ham,0
Hemos recibido tu postulación gracias por tu interés,ham,0
Agradecemos tu preferencia,ham,0
Ayudanos a mejorar con tu opinion sincera,ham,0
Obtén un seguro de vida sin exámenes médicos,spam,1
Gana puntos por cada dolar que gastes,spam,1
Protege tu auto con nuestro seguro,spam,1
Baja nuestro recetario gratis,spam,1
Gracias por unirte a nuestra comunidad online,ham,0
Tu satisfaccion es nuestra meta,ham,0
Mira este gracioso video de fails,spam,1
Este es un recordatorio de tu cita de peluquería,ham,0
Tu pedido ha sido entregado exitosamente,ham,0
Ahorra en grande con nuestra cuenta VIP,spam,1
Hola me gustaría cotizar tus servicios,ham,0
Gracias por tu lealtad a nuestra marca,ham,0
Por favor confirma tu número de teléfono,ham,0
Por favor ayudame a encontrar a mi mascota perdida,ham,0
Tu resumen de gastos mensual está disponible,ham,0
Gracias por visitarnos vuelve pronto,ham,0
Participa en nuestra rifa y gana fabulosos premios,spam,1
Gracias por aplicar te llamaremos si hay vacantes,ham,0
Transforma vidas con tu aporte voluntario,ham,0
Registra tu telefono en un clic,ham,0
Gracias por pagar a tiempo y mantener tu cuenta al dia,ham,0
Tu nomina esta disponible para descargar,ham,0
Gana un fin de semana en la playa en nuestro sorteo,spam,1
Descubre los secretos para un cabello hermoso,spam,1
Obten acceso a peliculas gratis en linea,spam,1
Te esperamos en nuestra proxima reunion,ham,0
Ha habido un intento de inicio de sesion sospechoso en tu cuenta,spam,1
Obten un prestamo facilmente sin verificacion de credito,spam,1
Por favor revisa el archivo adjunto y envíame tus comentarios,ham,0
Adjunta una foto de tu documento,spam,1
Por favor actualiza tus preferencias de comunicacion,ham,0
Unete a nuestro club de descuentos,ham,0
Obtén muestras gratis de nuestros productos,spam,1
Necesitamos actualizar tu informacion personal,spam,1
Reserva tu cita online y evita filas,ham,0
No te pierdas estos memes épicos,spam,1
Felicidades eres el empleado del mes,ham,0
Unifica tus prestamos y paga menos intereses,spam,1
Comparte este mensaje con tus amigos,ham,0
Financia tus metas con nuestros prestamos,spam,1
Lamentamos informarte que tu crédito no ha sido aprobado,ham,0
Hola agendamos esa llamada pendiente?,ham,0
Gana musculos rapidamente con este suplemento,spam,1
Tu reserva ha sido confirmada,ham,0
Diviertete en familia con nuestros juegos de mesa,spam,1
Aprende diseno grafico desde cero,spam,1
Conoce cómo protegemos tus datos,ham,0
Protege a tus seres queridos con un seguro de gastos funerarios,spam,1
Mejora tu rendimiento sexual con este producto,spam,1
Por favor selecciona el punto de entrega,ham,0
Gracias por ponerte en contacto con nuestro equipo de soporte,ham,0
Por favor selecciona tu método de envío preferido,spam,1
Lamentamos el cierre temporal de nuestras oficinas,ham,0
Feliz cumpleaños pásala increíble,ham,0
Por favor confirma tu asistencia a la reunión de mañana,ham,0
Este suplemento te hara perder peso mientras duermes,spam,1
Por favor elige tu medio de pago preferido,ham,0
Adelgaza sin esfuerzo con este nuevo producto,spam,1
Confirma tu participación en el simulacro,ham,0
Tonifica tu cuerpo con nuestro programa de ejercicios,spam,1
Tu certificado de retenciones ya fue generado,ham,0
Por favor dona a esta causa importante,ham,0
Tu pedido está siendo preparado para envío,ham,0
Recupera tu cabello con este tratamiento,spam,1
Presentamos nuestro nuevo aviso de privacidad,ham,0
Un millón de gracias por tu confianza sigamos creciendo juntos,ham,0
Haz clic aqui para descargar tu factura,spam,1
Invierte en el futuro de tu retiro,spam,1
Protegemos tus compras con garantia extendida,ham,0
Baja de peso comiendo deliciosos platillos,spam,1
Valoramos tu opinión cuéntanos cómo podemos servirte mejor,ham,0
Recibe tu comida favorita en 30 minutos,spam,1
Obten una muestra gratis de nuestro producto,spam,1
Necesitamos verificar la cuenta donde recibes tus pagos,spam,1
Lamentamos el inconveniente causado por el retraso en tu vuelo,ham,0
Lee como protegemos tu informacion,ham,0
No calificaste para este prestamo,ham,0
Este es un recordatorio de tu próxima cita médica,ham,0
Entrena tu mente con nuestros juegos de ingenio,spam,1
No olvides tu evaluacion medica de rutina,ham,0
Hola estare feliz de asesorarte,ham,0
Te regalamos un cupón por tu cumpleaños,ham,0
Obten un seguro de vida a un precio inigualable,spam,1
Por favor responde esta breve encuesta sobre tu experiencia,ham,0
Este es un recordatorio de tu pago pendiente,ham,0
Últimas horas de cyber monday,spam,1
Descubre cómo ganar dinero desde tu casa,spam,1
Has ganado una gift card de Amazon,spam,1
Invierte en commodities con bajo riesgo,spam,1
Suscribete y recibe nuestras promociones,spam,1
Aprovecha nuestros planes de pago sin intereses,spam,1
Gana dinero extra trabajando desde casa,spam,1
Solicita tu muestra gratis aqui,spam,1
Cuéntanos qué te pareció el producto,spam,1
Necesito que me envíes el reporte lo antes posible,ham,0
Ayúdanos a mejorar con tu opinión sincera,ham,0
Actualización importante de nuestras políticas de privacidad,ham,0
Tu viaje de negocios está todo reservado,ham,0
Monetiza tus habilidades con nuestro sistema,spam,1
Feliz cumpleaños que este año esté lleno de bendiciones,ham,0
Has ganado un vale de compra en nuestra tienda,spam,1
Mejora tu rendimiento sexual con este producto natural,spam,1
Tu paquete llegará en las próximas 48 horas,ham,0
Gana puntos extra con nuestro club viajero,spam,1
Revisa tu historial de transacciones,ham,0
Descubre como conquistar a la persona de tus sueños,spam,1
Este mensaje es para informarte sobre cambios en nuestras politicas,ham,0
Haz clic para ver increíbles trucos de maquillaje,spam,1
Renueva tu membresia a tiempo,ham,0
Confirma tu numero celular en el sistema,ham,0
Tu transfer al hotel te espera afuera,ham,0
Prueba suerte en la lotería con este número,spam,1
Hola soy tu asesor financiero personal,spam,1
Participa en nuestro concurso y gana un viaje,spam,1
Confirma tu registro al seminario,ham,0
Invierte en bienes raíces con expertos,spam,1
Realiza tu pago antes de la fecha limite,ham,0
Fracciona tus compras hasta 12 meses,spam,1
Invierte en esta oportunidad unica y hazte rico,spam,1
Gracias por tu lealtad aquí tienes un código de descuento,ham,0
Felicidades has calificado para recibir un descuento especial,spam,1
Hola cuéntame más sobre el proyecto que mencionaste,ham,0
Tu devolucion esta siendo procesada,ham,0
Disfruta 30 días más de cortesía,ham,0
Envia una selfie con tu documento,spam,1
Gracias por tu compra tu pedido está siendo procesado,ham,0
Baja nuestra app y gana puntos,spam,1
Gracias por ser nuestro cliente valoramos tu preferencia,ham,0
No pierdas esta increible oferta suscribete ahora,spam,1
Asiste a nuestra conferencia anual,ham,0
Gana una consola participando en nuestra trivia,spam,1
Recibe tus compras el mismo día con nuestro servicio exprés,spam,1
Concierta y conoce a tu banda favorita,spam,1
Recuerda que tienes una reunión importante el lunes,ham,0
Te esperamos en la reunion de manana,ham,0
Suscríbete a nuestro boletín informativo semanal,spam,1
Encuentra tu pareja ideal con nuestra app,spam,1
Envíame tus observaciones del reporte,ham,0
Felicidades has sido nominado a empleado del mes,ham,0
Salva una vida donando sangre hoy,ham,0
Hola ¿te gustaría cenar conmigo este fin de semana?,ham,0
Atenderemos tu caso prioritariamente,ham,0
Tus ideas nos inspiran a seguir mejorando,ham,0
Desintoxica tu cuerpo con estos jugos,spam,1
Gana dinero compartiendo tus opiniones,spam,1
Recuerda que tienes un evento importante mañana,ham,0
Mantén tus defensas altas con vitamina C,spam,1
Destaca tus ojos con nuestro nuevo rímel,spam,1
Gana recompensas por tus compras regulares,spam,1
Bienvenido a bordo estamos encantados de tenerte con nosotros,ham,0
Gana una consola de videojuegos en nuestro concurso,spam,1
Tu pedido ha sido cancelado,ham,0
Ya puedes descargar tu boleta de pago,ham,0
Hola me interesa contratar tus servicios,ham,0
Elimina el acné con este jabón natural,spam,1
Prueba este reto viral y comparte tus resultados,spam,1
Tu cuenta tiene un cargo no reconocido,spam,1
Gracias por tu compra y disfruta tu regalo,ham,0
Tu boleta de pagos esta lista,ham,0
Descubre como perder peso rapidamente,spam,1
Confirma tu presencia en el seminario de mañana,spam,1
Hola planifiquemos juntos tus inversiones,ham,0
Unete a nuestro club de lectores y recibe libros gratis,spam,1
Por favor actualiza tu información de pago,ham,0
Adjunta una copia de tu cédula,spam,1
Gracias por tu paciencia mientras resolvemos tu problema,ham,0
Fortalece tus defensas con este suplemento,spam,1
Gana una cena romántica en nuestro sorteo,spam,1
Gracias por tu compra,ham,0
Gracias por ser parte de nuestro club,ham,0
Pierde peso saludablemente con nuestra asesoría nutricional,spam,1
Hola sere tu asesor de imagen personal,spam,1
Tu nueva clave ya está operativa,ham,0
Prueba nuestro servicio premium gratis por un mes,spam,1
Luce unas pestañas impresionantes con nuestro rímel,spam,1
Elige entre debito o credito,ham,0
Potencia tu cerebro con nuestro entrenamiento cognitivo,spam,1
Por favor actualiza tus datos de facturación,ham,0
Gana el doble por tus referencias efectivas,spam,1
Confirmación de tu vuelo para mañana,ham,0
Ayúdanos a romper este récord Guinness,spam,1
Por favor asiste a la capacitación obligatoria de mañana,ham,0
Agrégame tus comentarios en el documento,ham,0
Por favor verifica tus datos de contacto,ham,0
Descarga nuestra guía de viaje gratis,spam,1
Este es un aviso de tu banco,ham,0
Aprende a invertir en criptomonedas ahora,spam,1
Pierde peso durmiendo con esta pastilla milagrosa,spam,1
Confirmamos el despacho de tu orden,ham,0
Estoy en problemas por favor enviame dinero,ham,0
Gana dinero desde casa sin esfuerzo,spam,1
Mantente en forma con nuestras clases online,spam,1
Feliz aniversario de bodas que sigan cumpliendo muchos más,ham,0
Sorprende a tu mejor amigo con este detalle,spam,1
Activa tu nueva tarjeta con una compra,ham,0
Trabaja desde casa y genera ingresos extra,spam,1
Gana una consola participando en nuestro torneo,spam,1
Feliz cumpleaños de parte de todo nuestro equipo,ham,0
Reduce tu hipoteca con este refinanciamiento,spam,1
Gracias por tu compra esperamos que disfrutes tu producto,ham,0
Usa este cupón en tu próxima visita a nuestra tienda,spam,1
Ultimo dia para aprovechar este descuento,spam,1
Unifica tus deudas con esta tasa especial,spam,1
Desbloquea tu potencial con nuestro seminario motivacional,spam,1
Hemos actualizado nuestros terminos y condiciones,ham,0
Tu opinión nos importa cuéntanos cómo te fue,ham,0
Invierte en oro y protege tu patrimonio,spam,1
Hola quiero presentarte una increible oportunidad de negocio,spam,1
Adquiere nuestro seguro contra robos,spam,1
Marca los músculos de tus sueños,spam,1
Hemos recibido tu solicitud y la estamos procesando,ham,0
Confirmamos que recibimos tu pedido,ham,0
Rastrea tu envío con este código,ham,0
Gracias por contactar a nuestro servicio al cliente,ham,0
Tu estado de cuenta está listo para ser revisado,ham,0
Encuentra tu equilibrio con meditacion,ham,0
Comparte conmigo tus ideas sobre el proyecto,ham,0
Invierte en criptomonedas y multiplica tus ganancias,spam,1
Necesito que revises el documento adjunto y me des tus comentarios,ham,0
Regresa a tu infancia con estos juguetes,spam,1
Comienza a disfrutar tu membresia,ham,0
Actualiza tu método de pago,ham,0
Aumenta tu energia y libido con estas pastillas naturales,spam,1
Gracias por elegirnos estamos para servirte,ham,0
Haz clic para descargar musica gratis,spam,1
Necesito tu colaboracion en un proyecto importante,ham,0
Descarga tu estado de cuenta aquí,ham,0
Tu pedido ha sido enviado recibirás una confirmación por correo,ham,0
Hola soy tu coach de vida personal,spam,1
Entérate de las últimas noticias de la industria,spam,1
Tu equipaje arribara en el siguiente vuelo,ham,0
Hola quiero ser tu gurú de estilo,spam,1
Tu opinión sincera nos importa,ham,0
Asiste a la charla motivacional,ham,0
Tu cuenta ha sido mejorada con nuevas características,ham,0
Gracias por postular consideraremos tu perfil,ham,0
Refuerza tu sistema inmunológico con nuestras vitaminas,spam,1
Tus resultados medicos estan listos,ham,0
Tu cita ha sido reprogramada,ham,0
Aprende las técnicas de los grandes líderes empresariales,spam,1
Luce una piel radiante con nuestros consejos,spam,1
Instala esta aplicación y obtén recompensas,spam,1
Obten un descuento especial en tu proximo corte de cabello,spam,1
Hola reinventa tu estilo con nosotros,spam,1
Feliz cumpleanos de parte de todo el equipo,ham,0
Elimina las imperfecciones con nuestro novo tratamiento,spam,1
Tonifica tu cuerpo con solo 20 minutos diarios,spam,1
Gana recompensas por tus compras diarias,spam,1
Tu orden está lista para recoger,ham,0
Elige como quieres recibir tu pedido,ham,0
